seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,replay_updates_per_step,q_loss,mean_q,mean_td_target
1,1,50,0.9968333333333333,-0.4999999888241291,50,50,2,0.0,0.0,0.0
1,2,100,0.9936666666666667,-0.4999999888241291,50,100,2,0.0013338120188564062,0.08320438861846924,0.08860104531049728
1,3,150,0.9905,-0.4999999888241291,50,150,2,0.0003462716704234481,0.07918913662433624,0.07667907327413559
1,4,200,0.9873333333333333,-0.4999999888241291,50,200,2,0.00026329277898184955,0.06632564961910248,0.06289925426244736
1,5,246,0.9841666666666666,0.5500000100582838,46,246,2,1.179007313112379e-06,0.05561235547065735,0.056848399341106415
1,6,296,0.981,-0.4999999888241291,50,296,2,6.755435606464744e-05,0.07041116803884506,0.07430527359247208
1,7,346,0.9778333333333333,-0.4999999888241291,50,346,2,8.805996185401455e-05,0.06596672534942627,0.06320972740650177
1,8,396,0.9746666666666667,-0.4999999888241291,50,396,2,0.00011480181274237111,0.057043515145778656,0.056899067014455795
1,9,446,0.9715,-0.4999999888241291,50,446,2,3.678979919641279e-05,0.044160954654216766,0.04561331495642662
1,10,496,0.9683333333333334,-0.4999999888241291,50,496,2,0.00046027119969949126,0.10239824652671814,0.11006017029285431
1,11,546,0.9651666666666666,-0.4999999888241291,50,546,2,0.00011755648301914334,0.06376231461763382,0.06209009140729904
1,12,596,0.962,-0.4999999888241291,50,596,2,8.436485950369388e-05,0.043442901223897934,0.046937767416238785
1,13,646,0.9588333333333333,-0.4999999888241291,50,646,2,2.7015646992367692e-05,0.03033926524221897,0.02837161347270012
1,14,696,0.9556666666666667,-0.4999999888241291,50,696,2,7.65942531870678e-05,0.0360587053000927,0.028259074315428734
1,15,746,0.9525,-0.4999999888241291,50,746,2,0.00046543957432731986,0.09533843398094177,0.09213601052761078
1,16,796,0.9493333333333334,-0.4999999888241291,50,796,2,0.0004104878462385386,0.14632219076156616,0.15812671184539795
1,17,846,0.9461666666666667,-0.4999999888241291,50,846,2,0.002539499895647168,0.15812067687511444,0.1564629226922989
1,18,881,0.9430000000000001,0.6600000075995922,35,881,2,0.0008236535941250622,0.19832991063594818,0.18853075802326202
1,19,904,0.9398333333333333,0.7800000049173832,23,904,2,0.0006850878125987947,0.22096358239650726,0.2402336150407791
1,20,954,0.9366666666666666,-0.4999999888241291,50,954,2,0.0008516122470609844,0.4588063955307007,0.42340511083602905
1,21,1004,0.9335,-0.4999999888241291,50,1004,2,0.011386788450181484,0.47028326988220215,0.46842777729034424
1,22,1054,0.9303333333333333,-0.4999999888241291,50,1054,2,0.001370227080769837,0.5302906036376953,0.5567359328269958
1,23,1104,0.9271666666666667,-0.4999999888241291,50,1104,2,0.0008544014999642968,0.6033105254173279,0.61385577917099
1,24,1154,0.924,-0.4999999888241291,50,1154,2,0.0017052787588909268,0.6478599309921265,0.6666965484619141
1,25,1204,0.9208333333333334,-0.4999999888241291,50,1204,2,0.002029052935540676,0.6525708436965942,0.6757909655570984
