seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,replay_updates_per_step,q_loss,mean_q,mean_td_target
0,1,50,0.9968333333333333,-0.4999999888241291,50,50,2,0.0,0.0,0.0
0,2,91,0.9936666666666667,0.6000000089406967,41,91,2,0.0,0.0,0.0
0,3,141,0.9905,-0.4999999888241291,50,141,2,0.0001160016399808228,0.11858844757080078,0.11126269400119781
0,4,191,0.9873333333333333,-0.4999999888241291,50,191,2,0.00036670465487986803,0.14073927700519562,0.13839462399482727
0,5,241,0.9841666666666666,-0.4999999888241291,50,241,2,0.00015173207793850452,0.14661575853824615,0.14223308861255646
0,6,291,0.981,-0.4999999888241291,50,291,2,5.106324897496961e-05,0.12845641374588013,0.11625981330871582
0,7,341,0.9778333333333333,-0.4999999888241291,50,341,2,0.0001750890223775059,0.11654782295227051,0.11232058703899384
0,8,391,0.9746666666666667,-0.4999999888241291,50,391,2,0.0006943956250324845,0.16871288418769836,0.18947455286979675
0,9,434,0.9715,0.5800000093877316,43,434,2,0.00039310389547608793,0.2645752727985382,0.2555331885814667
0,10,484,0.9683333333333334,-0.4999999888241291,50,484,2,0.00012304542178753763,0.28455692529678345,0.27867743372917175
0,11,506,0.9651666666666666,0.7900000046938658,22,506,2,0.0018323066178709269,0.27000635862350464,0.2782672643661499
0,12,556,0.962,-0.4999999888241291,50,556,2,0.000830042059533298,0.32593870162963867,0.34209632873535156
0,13,606,0.9588333333333333,-0.4999999888241291,50,606,2,0.0010701405117288232,0.422721266746521,0.40233272314071655
0,14,656,0.9556666666666667,-0.4999999888241291,50,656,2,0.0007033912697806954,0.5003462433815002,0.5401431322097778
0,15,706,0.9525,-0.4999999888241291,50,706,2,0.00587565777823329,0.5919573903083801,0.6159314513206482
0,16,753,0.9493333333333334,0.5400000102818012,47,753,2,0.0034626766573637724,0.6605353951454163,0.6895374059677124
0,17,803,0.9461666666666667,-0.4999999888241291,50,803,2,0.02375609055161476,0.7426320314407349,0.7299095392227173
0,18,853,0.9430000000000001,-0.4999999888241291,50,853,2,0.0002220890310127288,0.7255339026451111,0.7395281791687012
0,19,903,0.9398333333333333,-0.4999999888241291,50,903,2,0.0009881716687232256,0.7882711291313171,0.8114761114120483
0,20,953,0.9366666666666666,-0.4999999888241291,50,953,2,0.003814371768385172,0.7603747248649597,0.8026057481765747
0,21,1003,0.9335,-0.4999999888241291,50,1003,2,0.007520579267293215,0.8333563208580017,0.8432260155677795
0,22,1053,0.9303333333333333,-0.4999999888241291,50,1053,2,0.0016830472741276026,0.8224388957023621,0.8302031755447388
0,23,1103,0.9271666666666667,-0.4999999888241291,50,1103,2,0.03370770439505577,0.8314738273620605,0.784608006477356
0,24,1153,0.924,-0.4999999888241291,50,1153,2,0.006609812844544649,0.8124682903289795,0.8240843415260315
0,25,1203,0.9208333333333334,-0.4999999888241291,50,1203,2,0.005996022839099169,0.8032615184783936,0.8179712295532227
0,26,1253,0.9176666666666666,-0.4999999888241291,50,1253,2,0.022543424740433693,0.787331759929657,0.7630476951599121
0,27,1303,0.9145,-0.4999999888241291,50,1303,2,0.023013178259134293,0.7917234301567078,0.7918498516082764
0,28,1353,0.9113333333333333,-0.4999999888241291,50,1353,2,0.0006517948349937797,0.7841759920120239,0.8079023361206055
0,29,1403,0.9081666666666667,-0.4999999888241291,50,1403,2,0.0038385393563658,0.7646409273147583,0.7917782068252563
0,30,1453,0.905,-0.4999999888241291,50,1453,2,0.000701773155014962,0.7752540111541748,0.7741832733154297
0,31,1503,0.9018333333333334,-0.4999999888241291,50,1503,2,0.006625978741794825,0.7856330871582031,0.7730798125267029
0,32,1553,0.8986666666666667,-0.4999999888241291,50,1553,2,0.0006948625668883324,0.7352524995803833,0.7598155736923218
0,33,1603,0.8955,-0.4999999888241291,50,1603,2,0.01622389815747738,0.7253773212432861,0.7201639413833618
0,34,1653,0.8923333333333333,-0.4999999888241291,50,1653,2,0.0009565516957081854,0.7155593037605286,0.7359505891799927
0,35,1703,0.8891666666666667,-0.4999999888241291,50,1703,2,0.001193827367387712,0.7063457369804382,0.7209869027137756
0,36,1753,0.886,-0.4999999888241291,50,1753,2,0.000834994949400425,0.7265292406082153,0.7338498830795288
